Symbol,Date,Open,High,Low,Close,Volume,Category
ASHOKLEY,2025-11-06,140.99,143.85,139.92,141.23,17435511,Mid Cap
NHPC,2025-11-06,84.05,84.55,81.72,82.85,15881779,Mid Cap
INDUSTOWER,2025-11-06,391.9,404.85,386.6,398.3,14237144,Mid Cap
UNIONBANK,2025-11-06,152.58,152.58,149.6,150.15,10296779,Mid Cap
PAYTM,2025-11-06,1310.0,1333.8,1292.7,1320.6,10267401,Mid Cap
GAIL,2025-11-06,182.8,182.8,178.65,178.98,8609714,Mid Cap
BHEL,2025-11-06,266.7,266.9,259.5,260.05,5823324,Mid Cap
LTF,2025-11-06,279.7,280.65,272.2,275.2,5515746,Mid Cap
VBL,2025-11-06,473.75,478.8,470.2,471.85,4827230,Mid Cap
BIOCON,2025-11-06,380.2,386.8,380.2,385.2,4037698,Mid Cap
ABCAPITAL,2025-11-06,331.05,332.35,324.6,327.05,4018689,Mid Cap
DABUR,2025-11-06,517.05,524.5,511.05,523.7,3911239,Mid Cap
RVNL,2025-11-06,325.9,327.45,317.3,317.8,3610101,Mid Cap
AUBANK,2025-11-06,880.9,892.65,875.4,881.0,3539271,Mid Cap
NYKAA,2025-11-06,253.9,253.9,244.1,246.14,3367756,Mid Cap
ZYDUSLIFE,2025-11-06,980.0,998.0,933.05,936.7,2919859,Mid Cap
BSE,2025-11-06,2495.0,2495.7,2429.9,2455.5,2859627,Mid Cap
INDUSINDBK,2025-11-06,791.0,797.5,777.35,786.2,2640541,Mid Cap
NTPCGREEN,2025-11-06,100.74,101.1,99.37,99.63,2602349,Mid Cap
MAXHEALTH,2025-11-06,1119.1,1146.9,1118.5,1125.4,2545462,Mid Cap
CHOLAFIN,2025-11-06,1744.1,1751.2,1653.4,1683.4,2300974,Mid Cap
FORTIS,2025-11-06,1025.0,1029.9,995.1,1009.9,2298960,Mid Cap
GODREJCP,2025-11-06,1164.9,1164.9,1134.3,1146.0,2222520,Mid Cap
ADANIENT,2025-11-06,2425.1,2427.1,2307.6,2314.3,1978147,Mid Cap
POLICYBZR,2025-11-06,1810.2,1812.5,1728.9,1757.4,1940836,Mid Cap
INDIANB,2025-11-06,874.1,879.75,863.6,865.8,1796714,Mid Cap
VOLTAS,2025-11-06,1356.0,1372.6,1288.1,1292.4,1703216,Mid Cap
LAURUSLABS,2025-11-06,985.0,994.8,975.5,979.8,1667068,Mid Cap
SYNGENE,2025-11-06,635.25,653.9,616.0,620.6,1642849,Mid Cap
JINDALSTEL,2025-11-06,1080.7,1081.1,1042.3,1045.5,1497966,Mid Cap
LUPIN,2025-11-06,2010.9,2011.0,1944.1,1955.5,1405493,Mid Cap
AMBUJACEM,2025-11-06,567.55,569.35,557.1,558.4,1388630,Mid Cap
HAVELLS,2025-11-06,1475.1,1485.1,1439.2,1442.3,1209100,Mid Cap
LICI,2025-11-06,902.1,906.65,892.25,896.1,1203527,Mid Cap
UNOMINDA,2025-11-06,1242.0,1264.0,1227.2,1233.8,979119,Mid Cap
JUBLFOOD,2025-11-06,592.0,593.4,581.5,583.25,950388,Mid Cap
MAZDOCK,2025-11-06,2682.0,2697.3,2618.5,2630.5,885242,Mid Cap
NAUKRI,2025-11-06,1325.1,1350.1,1317.3,1326.8,855886,Mid Cap
WAAREEENER,2025-11-06,3375.0,3412.8,3336.6,3369.0,715761,Mid Cap
CUMMINSIND,2025-11-06,4309.1,4364.8,4244.2,4316.1,693125,Mid Cap
PIDILITIND,2025-11-06,1463.0,1468.5,1438.0,1442.8,692357,Mid Cap
TORNTPOWER,2025-11-06,1302.0,1303.6,1260.0,1273.2,675598,Mid Cap
MARICO,2025-11-06,715.0,720.5,711.2,713.15,670236,Mid Cap
SBICARD,2025-11-06,881.05,885.95,867.1,870.2,645583,Mid Cap
PRESTIGE,2025-11-06,1754.6,1760.0,1718.2,1725.2,520525,Mid Cap
HDFCAMC,2025-11-06,5242.5,5425.0,5242.5,5388.5,489224,Mid Cap
MANKIND,2025-11-06,2375.0,2379.8,2305.3,2309.1,486278,Mid Cap
KPITTECH,2025-11-06,1155.4,1161.6,1143.5,1159.2,477984,Mid Cap
TRENT,2025-11-06,4660.6,4704.1,4635.0,4679.2,476465,Mid Cap
APOLLOHOSP,2025-11-06,7732.5,7850.5,7700.0,7782.0,425649,Mid Cap
COLPAL,2025-11-06,2175.9,2190.8,2166.6,2173.6,411132,Mid Cap
MUTHOOTFIN,2025-11-06,3188.3,3228.0,3164.9,3183.8,375247,Mid Cap
MPHASIS,2025-11-06,2763.9,2786.0,2743.6,2773.9,354396,Mid Cap
PERSISTENT,2025-11-06,5926.5,5926.5,5796.5,5842.0,341274,Mid Cap
ABB,2025-11-06,5258.0,5280.5,5172.0,5228.0,302941,Mid Cap
KPIL,2025-11-06,1325.2,1335.6,1301.0,1304.4,299624,Mid Cap
LLOYDSME,2025-11-06,1318.0,1319.0,1293.1,1314.5,277375,Mid Cap
TATACHEM,2025-11-06,893.95,894.0,870.35,872.85,247626,Mid Cap
TATACOMM,2025-11-06,1905.4,1905.4,1836.0,1842.0,244304,Mid Cap
BHARTIHEXA,2025-11-06,1866.8,1868.0,1808.3,1813.9,242376,Mid Cap
SRF,2025-11-06,2940.0,2949.4,2894.4,2899.3,232346,Mid Cap
TATAELXSI,2025-11-06,5379.5,5379.5,5221.0,5242.5,222332,Mid Cap
POLYCAB,2025-11-06,7585.0,7670.0,7572.5,7591.5,201409,Mid Cap
ALKEM,2025-11-06,5670.5,5704.0,5631.0,5643.5,152300,Mid Cap
ESCORTS,2025-11-06,3809.1,3810.0,3665.0,3689.7,120685,Mid Cap
SUNDARMFIN,2025-11-06,4770.0,4890.5,4734.0,4858.4,82644,Mid Cap
OFSS,2025-11-06,8325.5,8357.5,8199.5,8212.5,76986,Mid Cap
DELHIVERY,2025-11-06,470.0,470.0,436.4,442.6,20671252,Small Cap
SAIL,2025-11-06,138.0,139.69,136.0,137.91,18170970,Small Cap
PPLPHARMA,2025-11-06,196.5,209.25,196.5,199.33,14705456,Small Cap
BEL,2025-11-06,411.0,415.0,407.45,408.8,12786294,Small Cap
RBLBANK,2025-11-06,327.0,332.0,324.85,325.6,10775022,Small Cap
MANAPPURAM,2025-11-06,266.8,277.4,266.5,274.0,9529258,Small Cap
IRB,2025-11-06,44.66,45.26,44.25,44.87,9407172,Small Cap
CENTRALBK,2025-11-06,39.15,39.4,38.0,38.11,8874279,Small Cap
UCOBANK,2025-11-06,32.8,32.9,31.85,31.95,8510115,Small Cap
IDBI,2025-11-06,100.0,100.36,97.0,97.26,8297139,Small Cap
IOB,2025-11-06,39.74,40.14,38.59,38.72,7979437,Small Cap
NBCC,2025-11-06,113.94,115.05,111.1,111.44,5870038,Small Cap
ASTRAL,2025-11-06,1482.5,1572.5,1482.5,1566.1,5837826,Small Cap
HINDCOPPER,2025-11-06,333.95,334.0,321.1,322.3,4353679,Small Cap
INOXWIND,2025-11-06,155.4,155.73,149.3,150.06,4242350,Small Cap
HUDCO,2025-11-06,233.0,233.61,226.5,227.52,2660105,Small Cap
CROMPTON,2025-11-06,283.5,284.35,276.4,278.55,2344095,Small Cap
SJVN,2025-11-06,87.31,87.5,85.75,85.93,2068241,Small Cap
IRCON,2025-11-06,168.44,168.44,162.5,163.54,2004456,Small Cap
KAYNES,2025-11-06,6890.0,6890.0,6302.5,6358.5,1539949,Small Cap
COFORGE,2025-11-06,1751.0,1777.0,1748.6,1763.9,1453706,Small Cap
FSL,2025-11-06,355.0,362.4,348.75,351.3,1434065,Small Cap
CDSL,2025-11-06,1529.9,1538.5,1517.0,1532.9,1409286,Small Cap
GRSE,2025-11-06,2624.7,2648.8,2571.0,2584.2,1372854,Small Cap
POONAWALLA,2025-11-06,472.65,474.0,460.0,462.9,932409,Small Cap
BEML,2025-11-06,2130.4,2148.7,1972.5,1986.8,925686,Small Cap
KPIGREEN,2025-11-06,528.2,529.2,508.05,510.75,834439,Small Cap
HAL,2025-11-06,4650.0,4686.6,4575.0,4593.6,768664,Small Cap
ASTERDM,2025-11-06,688.7,700.0,685.0,687.25,648930,Small Cap
SUMICHEM,2025-11-06,499.45,502.7,478.5,480.05,604807,Small Cap
EMCURE,2025-11-06,1328.0,1392.3,1327.0,1359.0,568873,Small Cap
RAMCOCEM,2025-11-06,1054.0,1054.0,1011.9,1033.2,523522,Small Cap
IRCTC,2025-11-06,715.5,717.65,702.95,703.35,501782,Small Cap
MCX,2025-11-06,9385.0,9405.0,9173.5,9250.5,462012,Small Cap
NAVINFLUOR,2025-11-06,6023.0,6138.0,5980.0,6081.0,454757,Small Cap
ITI,2025-11-06,324.8,325.0,314.5,315.85,437667,Small Cap
GODFRYPHLP,2025-11-06,3022.0,3074.1,2990.2,3023.2,407120,Small Cap
WOCKPHARMA,2025-11-06,1366.1,1369.9,1341.3,1353.3,372784,Small Cap
AFFLE,2025-11-06,1832.0,1832.8,1755.6,1778.0,369952,Small Cap
AEGISLOG,2025-11-06,763.0,771.75,749.7,766.6,358381,Small Cap
SHYAMMETL,2025-11-06,875.5,894.95,835.5,839.3,357821,Small Cap
OBEROIRLTY,2025-11-06,1790.0,1796.9,1768.5,1780.4,352524,Small Cap
AMBER,2025-11-06,7835.5,7992.5,7643.0,7832.5,336616,Small Cap
METROPOLIS,2025-11-06,2106.5,2118.3,1980.3,2005.8,323417,Small Cap
NH,2025-11-06,1843.7,1843.7,1809.6,1819.9,318645,Small Cap
RADICO,2025-11-06,3207.0,3258.0,3169.0,3185.9,316849,Small Cap
KIMS,2025-11-06,719.8,721.95,702.6,720.3,285402,Small Cap
JBCHEPHARM,2025-11-06,1698.9,1699.9,1684.0,1691.8,268137,Small Cap
NAVA,2025-11-06,612.35,612.85,592.0,595.35,244570,Small Cap
EIHOTEL,2025-11-06,399.1,399.3,386.35,391.35,220819,Small Cap
GODIGIT,2025-11-06,360.2,360.75,353.5,355.5,183818,Small Cap
KEI,2025-11-06,3990.1,3992.5,3918.0,3927.6,145324,Small Cap
ANANDRATHI,2025-11-06,3141.9,3168.0,3080.6,3104.4,129581,Small Cap
SUVEN,2025-11-06,196.2,198.69,190.75,192.83,118686,Small Cap
CREDITACC,2025-11-06,1379.1,1390.9,1333.7,1337.5,118585,Small Cap
INDIAMART,2025-11-06,2470.0,2494.0,2441.1,2473.1,114451,Small Cap
DEEPAKNTR,2025-11-06,1746.0,1750.0,1715.0,1732.5,114411,Small Cap
LALPATHLAB,2025-11-06,3138.0,3168.8,3088.7,3108.0,99936,Small Cap
FACT,2025-11-06,896.2,898.05,880.9,885.1,73021,Small Cap
THERMAX,2025-11-06,3272.0,3289.1,3229.9,3256.0,51821,Small Cap
